Rating,Title,Review
5.0,"5.0 out of 5 stars
does charging phone overnight affects battery health??",15 pro max >>>> all androids .  the speed the camera the new ios justtt superbthe resident evil village runs so smoothly
5.0,"5.0 out of 5 stars
I phone15 pro maximum","Accha hai bass aur kya bolu.Haa kabhi lag karta hai,Aur thoda expensive bhi hai.Thanks for watching and future review bhi aate rahenge"
5.0,"5.0 out of 5 stars
Not Bad !!!",Overpriced. It should not cost more than 1.1L. Bought it at 1.6L viz 50K extra I felt. Go for 15 instead of pro max. Overhyped phone this one is
3.0,"3.0 out of 5 stars
Not as expected",If at all looking for pro model just because of lidar and action button and camera. Its not value for money as the charging and performance are not upto the mark for both pro and non pro models. I purchased iPhone 15 pro 128gb not happy
5.0,"5.0 out of 5 stars
Hi....",Like ntg to say just hi....Hmm.hmmm. hmmm hmmm hmmHmm hmm hmm hmm hmm hmm hmmmhmmmm hmm hm hm
5.0,"5.0 out of 5 stars
I don't have an iPhone, can you get me one ? Please 🥺","Iphone always the better than Android , I need the iphone please give me one Amazon please amazon Amazon Amazon"
3.0,"3.0 out of 5 stars
Heats",Heats very much during charger. Even if apple type c charger is used.No much difference from 14 pro max.
5.0,"5.0 out of 5 stars
Worth every penny, awesome battery life","If you already have 14 Pro or Pro Max then don't upgrade, but if you've any other Pro or non Pro models go for it. If you need an iPhone with 24-26hr battery life on a single charge then go for Pro Max models. No doubt Apple's 4K 60fps ProRes is really awesome, and the all new type-c port is the best thing Apple has done in years. Also all the type-c cables included in the box are woven design, now expecting this will not turn grey after few months of use."
5.0,"5.0 out of 5 stars
Just Dont Care The Criticism. Very Good","The media could not be loaded.
                



 We Know Nowadays There was so much hate spreading on Iphone 15 Series But as i am a techie, i know most of the critics had never used and talking like trash bin. i Using From Past 1 month, If You Love Photography Or Pro-Gaming then you are good to take this smartphone. Just Dont Care The Criticism.I Too Had Feel The Phone Is warm while heavy gaming and Photography, But was never like what had they said in news. I Loved The Photos The Phone Gives."
5.0,"5.0 out of 5 stars
Best iphone ever",No heating issue. Even if they exists for you. Use phone on battery saver mode amazing performance  Very good phone.
5.0,"5.0 out of 5 stars
Very light",Best performance smartphoneValue for moneyVery light phoneNo heating issuesBest phone if no budget problem for sure
5.0,"5.0 out of 5 stars
Top class",When you hold this phone in your hand then only you can realise feeling of holding a premium phone 🍎
5.0,"5.0 out of 5 stars
Best budget Camera mobile under this price must buy fir good performance",Nice Phn bought under very good price  Super sleek nice handy  vulnerable best rate so budget in hatts of to apple for making value products
5.0,"5.0 out of 5 stars
Good phone",Good phone with all thing are there in it.... No need to go for samsung..Just go and enjoy it
5.0,"5.0 out of 5 stars
Fastest iPhone",Till this date it is the fastest iPhone for gaming and all over daily usage .Strongest iPhone till now
5.0,"5.0 out of 5 stars
Very sweet phone",Best phone ever seen it's the best phone in the earth worth buyable for those who are 4G iphone users.
5.0,"5.0 out of 5 stars
Better than the last Apple Flagship!",Got the info it is in stock from X (twitter). Usually always unavailable.Premium phone from a premium company. Original product.
5.0,"5.0 out of 5 stars
Thanks Tech Hub Store",
5.0,"5.0 out of 5 stars
Best","The media could not be loaded.
                



 Best camera everything feels like pro Outstanding performance battery life and a premium experiencePerforms everything fast and best for gaming and the natural taitanium colour looks so good it looks  grey and diffrent from others"
1.0,"1.0 out of 5 stars
Ghatiya phone",Hangs a lot! Also lagse when using camera. In settings it shows GS5 PRO MAX VARIENT! 😭😭 I bought it for 60000
1.0,"1.0 out of 5 stars
Related girl friend",Bro 1 v ladki nhi pategi iss phone se... Bhaut bekar hai.... Mera paisa doob gya 2lakh..socha bhaut ladki pategi... Bt ab jaa rha hu duke 390 lene syad usse pat jaye.. Amazon
1.0,"1.0 out of 5 stars
Ghatiya Phone",Ek number ghatiya phone. dont waste 2lacs on this. Instead pay me some money if you have too much . Dont buy
1.0,"1.0 out of 5 stars
Not worth it",It seems to be highly expensive and on the other side it's features can't be matched up with Android.It doesn't have fast charging also unlike Android
1.0,"1.0 out of 5 stars
Nothing new ,","Nothing new in this phone , just getting things repeated in earlier model,  Apple has nothing to offer new,  seems forgotten their tag line , think different"
1.0,"1.0 out of 5 stars
Bery expwnaive",Very bad phone and exoensiceNot good camera nd performace of 10k phn redmi is better than this even nokia dont buy dont buy
5.0,"5.0 out of 5 stars
Beast Gadget with PROS CONS","Pros :Light weighted ~ My XR weighted more than pro max. It is lighter.Good performance ~ Very smoothGood battery life ~ I charged it 100% at 3 PM now after lazy use it is at 61% at 10.30 PM and Next day till 3.33 PM it is at 18%, which is quite good.Also 5G works good, in my XR there were hardly any networks but it’s antenna is really good. 5G works like a charm.Cons :Heating was there in 16.0.x but fixed in 17.0.1, in 16.0.x it heats up around cam area at the top mainly.Now after the fix,It heated up in 30-40% charging, then heated up again in 70%, at 80% it is cool, and at 100% it was cool. Which is normal, trust me all iPhones heats up, even my XR heats up but is not observable because of the phone cover.Battery took around 2 hours to charge(my battery was at 6% I put up on charging around 1 PM and at 2.45 or 3 PM it was around 100% now I have set the limit to 80% for good battery life)Later at around 100% battery when I used basic app, it heats up a little around cam area but the heat is very minor. Since I am not using any cover so I felt it.Overall after the fix, the heating is resolved completely, so you can be assured in this area.Battery backup is quite good, I am using 80% optimised battery option and y’day night I charged it and today till 8.26 PM it is at 27%, I watched video, shopping apps, social media apps heavily.It keeps a check of your battery charging cycle, since I’m using 80% Limit, the charging has fasten up, it usually takes 35-40 min for 80% and then after it slows down the charging.Durability : I have checked few reviews, the back panel is weak it has high chances of breaking, the front glass is strong but could get scratches.USE COVERS AND TEMPERED. Overall for apple users, it is a beast in performance. Do not panic if this gets heats up, it is an APP and OS issue.I’m observing the apps and OS and the heating area but it is doing brilliant so far.Cam Quality : I am not liking the front camera pictures, it actually overdo the image, you might not like Selfies but there are plenty of options for video and camera. You can shoot in 4K and Raw max, etc.I’m not a selfie lover so it is kinda okay for me but you will def not like the after camera processing selfie image.Sound Quality: The best, superior DOLBY sound quality. I haven’t heard this much of brilliant sound in any of the devices in recent times. Decent sound..!! You will love the music and AV.FYI : It fell down from a meter height but since I had a good case so nothing happened luckily. pls make sure you have a good cover. I saw videos the back panel is weak due to different assembly in this series.PS : I’m not a heavy user. I don't play games, so cannot review on the heat and battery while playing games."
5.0,"5.0 out of 5 stars
Worth the upgrade","The aluminium has made the phone very light weight you will immediately feel the difference coming from any previous pro max, worth the upgrade if you are coming from 11 series"
5.0,"5.0 out of 5 stars
Love this pro max",best iphone ever used
1.0,"1.0 out of 5 stars
12345santhosh",Compare to iphone 14 pro max 15 pro max is very worst.. Past 1 month i used 15 pro max i faced lot of heating issue and battery life is worst.. If you want to buy iphone i recommend 14 pro max
5.0,"5.0 out of 5 stars
My experience",I like all the things in iphone 15 Promax the camera is the world it is totally amazing product Thanks amazon
